city,total_funding,deal_count
Bengaluru,21021624863.0,948
Mumbai,7345992015.0,671
Gurgaon,6993556657.54,446
Delhi,6718064515.0,583
Pune,5068578000.0,218
Kolkata,3606460000.0,137
Chennai,3393790000.0,209
Noida,2942654000.0,196
Ahmedabad,2576032000.0,149
Hyderabad,2109051230.0,195
Menlo Park,450000000.0,1
California,300000000.0,1
Kormangala,284000000.0,2
Faridabad,252000000.0,3
India/Singapore,226000000.0,1
Tulangan,200000000.0,1
San Francisco,187000000.0,2
Jaipur,152735000.0,30
"San Jose,",135000000.0,1
Santa Monica,110000000.0,1
Singapore,82350000.0,8
Pune / US,68500000.0,4
New Delhi / US,67000000.0,2
New York,52000000.0,1
India/US,51500000.0,2
Palo Alto,51000000.0,1
Chandigarh,47100000.0,11
India,42000000.0,1
Taramani,38080000.0,1
Surat,36230000.0,2
India / US,30000000.0,1
Bhubneswar,23000000.0,1
Burnsville,18000000.0,1
USA/India,16600000.0,1
Haryana,15500000.0,1
Bangalore / SFO,15300000.0,2
Pune/Seattle,15000000.0,1
Udupi,12000000.0,2
Mumbai / Global,11000000.0,1
Bangalore/ Bangkok,9900000.0,2
Bangalore / San Mateo,8000000.0,1
Mumbai/Bengaluru,6800000.0,2
Vadodara,6774000.0,10
Ahemadabad,6344811.0,2
Gaya,6000000.0,1
Andheri,5750000.0,1
Bangalore / USA,5000000.0,1
Goa,4980000.0,10
Indore,4672000.0,13
Coimbatore,3957600.0,5
Karnataka,3584000.0,1
Boston,3000000.0,1
Bengaluru and Gurugram,3000000.0,1
US/India,3000000.0,1
New York/ India,2950000.0,1
Nairobi,2739034.68,1
SFO / Bangalore,2700000.0,1
Rourkela,2500000.0,1
Bhopal,2330665.0,3
Delhi & Cambridge,1700000.0,1
Gurgaon / SFO,1200000.0,1
Dallas / Hyderabad,1000000.0,1
"New York, Bengaluru",1000000.0,1
Lucknow,1000000.0,1
Bangalore / Palo Alto,1000000.0,1
Pune / Dubai,1000000.0,1
Gwalior,900000.0,2
Panaji,825000.0,1
Hyderabad/USA,600000.0,1
Belgaum,500000.0,1
Udaipur,500000.0,2
Missourie,350000.0,1
Chembur,319605.0,1
Amritsar,300000.0,1
Noida / Singapore,300000.0,1
Kanpur,220000.0,4
Mumbai / NY,200000.0,1
Jodhpur,160000.0,1
Nagpur,143000.0,3
Trivandrum,100000.0,2
Varanasi,52000.0,1
Mumbai / UK,40000.0,1
Kerala,27000.0,1
Ahemdabad,0.0,1
Agra,0.0,2
Goa/Hyderabad,0.0,1
Hubli,0.0,1
Bhubaneswar,0.0,1
Chennai/ Singapore,0.0,1
Kolkatta,0.0,1
Kochi,0.0,2
London,0.0,1
Kozhikode,0.0,1
Nw Delhi,0.0,1
New Delhi/ Houston,0.0,1
New Delhi / California,0.0,1
Karur,0.0,1
Srinagar,0.0,1
Siliguri,0.0,2
Seattle / Bangalore,0.0,1
Pune / Singapore,0.0,1
USA,0.0,1
US,0.0,1
Uttar Pradesh,0.0,1
\\xc2\\xa0Bangalore,0.0,1
\\xc2\\xa0Gurgaon,0.0,4
\\xc2\\xa0Mumbai,0.0,1
\\xc2\\xa0New Delhi,0.0,3
\\xc2\\xa0Noida,0.0,1
